Country,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7
NER,0.1614796386228745,-0.47272650250064957,-1.2549086815474286,-0.10831585662426368,0.004543752172692095,-4.718470140398234,0.0
NGA,0.2065159797841165,0.47182488277668955,0.13112137212374364,0.665795782057943,0.02706376704564306,-4.5941523141612155,0.0
NIC,-1.5628830888111178,6.833120619892973,-11.963631122344376,-5.281883210745486,-0.7780046361730575,-1.589714307240575,0.0
NLD,-0.1323097616294011,1.1161284684511605,-2.0326182835333717,-0.9252116228033347,-0.19014997760246066,-4.0036425137419895,0.0
NOR,-2.028411379111794,0.6011679895907374,0.7992868911840922,-2.829756868672384,-0.16715516943831554,-4.327999593346532,0.0
NPL,1.4258386917047172,-0.48228203802523767,0.2709141879345234,3.5179779960405666,0.17064425477526513,-4.754350279194297,0.0
NZL,0.13935465862771057,-3.400665670062566,-0.3972759396708825,-0.21547124854115474,-0.0018199271639152137,-4.432046778483256,0.0
OMN,-2.8831792821349844,0.14510247288275446,0.2878218527800236,-2.8291682468882473,-0.2987932174890684,-4.851115197747191,0.0
PAK,0.4520750746368485,1.7288994961286066,-5.838639215889707,-0.5471414543437136,0.002501267077037461,-5.205719696085643,0.0
PAN,0.4747424135349121,-0.44309800638858376,-11.190779927515937,-0.30248124093297246,-0.026165944978318034,-1.803033509547014,0.0
PER,-0.6628670169407491,-1.4139190277533458,-2.366263265449131,-4.241660958165161,-0.15856262640401297,-3.192338226721181,0.0
PHL,0.5082724652758053,1.1403796231744807,-2.670800176675203,-0.09460351307249981,0.00740465396154022,-5.014320694505237,0.0
PLW,1.7685535882086878,-0.4383073038170376,-5.260552260149964,2.4285823109779336,0.2151638681080481,-3.6662296096674374,0.0
PNG,-2.476980859303246,0.37232760890640765,1.9014507181102092,-2.8337502577026386,-0.166344183912992,-5.386454841508693,0.0
POL,0.19106379169095966,2.1963483209140042,-0.7132874975653625,-0.04669946537422254,-0.005449759358844286,-4.623260144057484,0.0
PRT,0.5789643794371191,0.7701658195789352,-1.9292127492152922,0.11646333638581918,0.013003322513460702,-4.544954519263078,0.0
PRY,0.535240266358139,-0.6276417474339943,-0.10895567111143256,0.7002971609302744,0.05653706021753191,-3.870724694042116,0.0
PYF,1.0973143369133354,-0.48251269850641726,-4.067931731664453,2.0217362636365976,0.11667481995534246,-3.6063905018156484,0.0
QAT,-5.7781711042824035,0.31776868428164007,1.3697592470517161,-6.926778877676654,-0.4461795736739882,-4.459217235939395,0.0
ROU,0.5028711556571253,0.40649545730027875,-0.7604657320902097,0.42510158944661924,0.036312113873693264,-4.707270024866572,0.0
RUS,-0.8613811642241398,0.31269739882031017,2.3449785340574403,-0.624147398608832,-0.04462022221289885,-5.518216010425537,0.0
RWA,0.44021048802052043,-0.5883631114292712,-0.9969578092608233,1.0037238888564781,0.03961920851609513,-4.677220670161352,0.0
SAU,-0.7374974350283559,-0.36178824610204674,0.20037513698070164,-1.8907761863240058,-0.08570891341954656,-4.7329829897931,0.0
SDN,0.08545203334391349,-0.47313407663983525,-0.6889014871919286,0.3208754993870633,0.006421946445755999,-4.914936903770961,0.0
SEN,1.9643113776846466,-0.48450065479081533,-1.5670065010649048,2.1265624762407676,0.20966711455194798,-4.8170888312173314,0.0
SGP,-0.023160289846724247,-3.488745439240134,-0.5880835592624312,-0.3891614188980208,-0.1554129469912846,-4.337187534757203,0.0
SLB,-0.13863674092228218,0.19209678796423862,-0.013349359608583189,-0.23550123630502462,-0.01713826063592938,-5.524826974802199,0.0
SLE,0.12966450887033076,-0.7143307994797079,-2.3901412777830755,-1.1844286217979838,-0.0562688731145955,-5.03526145776847,0.0
SLV,-0.09567240199546134,-0.49956411672440054,-1.4729205511980759,-0.5814820443780455,-0.04742832704169864,-0.47064693125316026,0.0
SOM,2.0093274838769215,-0.43155988082579577,-2.7893293280389475,2.710084379978861,0.22468338334966642,-4.851127299640334,0.0
SRB,0.7070366562736075,0.3772859424470936,-0.8798822161554032,0.4843282304344054,0.046071067364050755,-4.85235015132397,0.0
SSD,0.4696507729798238,-0.4312308791031399,-4.4412570434326675,0.4588353623747654,0.02786598114385974,-4.541251994226436,0.0
SUR,-3.803666280485851,0.13942628438955412,-2.627915986901508,-5.9959713843090405,-0.8023242824209298,-2.3945340878515853,0.0
SVK,-0.4741060527120089,4.854571386292247,-0.22662785927324292,-0.2617950634246302,-0.013992056437694966,-4.951992636927516,0.0
SVN,0.2860454155571013,3.523191335291942,-0.057566978396428325,0.1576502413026537,0.05104802552069465,-4.861028697390902,0.0
SWE,-0.3614401363175146,8.9653949764861,-1.5305363873531208,-1.3426450308890336,-0.08908818067984159,-4.601282292248198,0.0
SWZ,-0.36501139577351793,-0.13842037474677485,0.3910673778184437,-0.1613671982890308,-0.012305659278921688,-5.115912938517864,0.0
SXM,-4.265689723802668,-0.4189529126405718,-35.1930130815652,-6.157528112134192,-0.5820487711966083,7.61693484157564,0.0
SYC,1.0234567161587549,-0.5274900213157897,-0.24552394451070603,1.1758879324337057,0.11080908864153916,-4.7706610732811345,0.0
SYR,0.7718014357856351,-0.3763097209992519,-2.817180894667015,2.03048552986711,0.07764012850390856,-4.380830314017681,0.0
TCA,-2.456280351000195,-0.3925052002134403,-34.136197604341234,-5.896178607476155,-0.3542164456714625,5.547574374334596,0.0
TCD,-2.3160855195789476,0.41206743546626806,2.688654985071115,-2.8083818582777975,-0.13661521378319774,-5.132730762037729,0.0
TGO,3.023867582327555,-0.47108864074377044,-1.0330997709292689,1.9790004157091534,0.30860549587297115,-5.1631837258492075,0.0
THA,-2.73970443827517,13.752242873345724,-4.735823842210197,-4.303056850694976,-0.63176413228897,-5.604450622160173,0.0
TJK,2.387415985819752,-0.43105555273279716,-1.171854359408664,3.083439769729246,0.28316592994404033,-5.395468289885863,0.0
TKM,-2.245452655018443,0.429802241607787,2.678442435637618,-5.1698739032159935,-0.15703253387149285,-5.777881234911364,0.0
TLS,2.178298259713518,-0.45246720797028595,-2.372866382802563,3.113958412085882,0.24991097919688787,-5.226273105519386,0.0
TON,2.1538588007927073,-0.4612444424885865,1.9071927160722257,3.221785178672709,0.2749820521737556,-4.420424307697446,0.0
TTO,-1.5364908219055562,-0.4201408854706305,-2.977027381434616,-8.513925060369687,-0.34904993532958173,-1.3048467044362577,0.0
TUN,0.20871179447641275,3.1539738348113757,-1.0988864556656486,-0.15785506496833746,-0.0337343250544353,-4.718700939897369,0.0
TUR,0.4871238325209193,-1.1075873815578845,0.1025555244673404,0.8159867018366462,0.053211801877162124,-4.472813506779216,0.0
TZA,1.0251343226618026,-0.49291191539050067,-0.703785261189871,1.9498979758503454,0.11036298974238523,-5.019474630595466,0.0
UGA,0.4403313960195776,-0.5888008813615693,0.027061840457998088,1.0153492055990032,0.05052557500000443,-4.836197888786664,0.0
UKR,0.6513205665181321,-0.5409221754453224,-1.051349393372225,0.6167052734225908,0.047727229310923214,-4.458408270707914,0.0
URY,0.15280177957752716,-1.2141928158907886,-1.427691935153208,-0.5279098834982787,-0.009062735983766945,-3.7330725375942064,0.0
USA,1.1304635006322394,-18.091058565105,-52.71667754876874,-43.588680011520786,0.3176941792075283,12.811484269878948,0.01137106964940319
UZB,1.1507030708470811,-0.45689698305152987,0.1985850685362056,1.8219067921255494,0.1430357732205234,-5.171813967338911,0.0
VCT,-0.5099198317255471,-0.4245766087554315,-3.6403738765158677,-0.9590625231524874,-0.08531574987798995,0.4834887864401116,0.0
VEN,-0.023055179275166537,4.121400086348652,-9.838853516617629,-5.639419487720554,-0.015821714256669672,-3.248851994718116,0.0
VNM,-11.01974139259968,11.604215633309114,-5.0570069699561015,-7.142154204936679,-1.7645647950939813,-5.502953538545241,0.0
VUT,1.2439406385382545,-0.21387551845215297,-4.1145189165950775,0.8814421804536732,0.07507474522763236,-5.338939252793395,0.0
YEM,2.281157458933092,-0.4324368535381729,-3.5007689970784184,3.075990934643169,0.270547672948096,-4.791527521197125,0.0
ZAF,-1.4559625492426065,3.1958170366581307,-1.6779256061967174,-3.2898278391137015,-0.21704642222298842,-5.061946507346082,0.0
ZMB,-1.9165028908915138,0.5321221887392579,0.7857750726714352,-1.3148230277872153,-0.125267760515424,-4.98975482297126,0.0
ZWE,0.061559087987328454,0.6160256559063106,-0.5295459222592225,-0.20503529537216902,-0.008470189845344311,-5.042465960491627,0.0
